EventId,EventTemplate,Occurrences
2a2fa414,OnSystemSynchronization,8
fcba5004,Start system synchronization timer,8
ba289031,"EdgeMessage received topic ""modules/controlsystemconnect/model/desired/abb.ability.configuration/a590a397-5512-4cc1-a027-1ea133e2f833"" messageType ModelUpdates",8
6ae41321,Statistics received <*> receivedRate <*> msg/s receivedBytes <*> receivedBytesRate <*> KB/s published <*> publishedRate <*> msg/s publishedBytes <*> publishedBytesRate <*> KB/s processed <*> processedFailed 0 skipped 0 duration 10 s,7259
a790d014,Statistics providerId <*> published <*> publishedRate <*> msg/s publishedBytes <*> publishedBytesRate <*> KB/s processed <*> processedFailed 0 skipped 0 averageProcessTime <*> ms/msg minProcessTime <*> ms maxProcessTime <*> ms duration 10 s,15687
a273771f,Statistics <*> messages <*> messageRate <*> msg/s messagesBytes <*> messagesBytesRate <*> KB/s <*> <*> <*> <*> <*> notSupportedSystem 0 noModel 0 averageProcessTime <*> ms/msg minProcessTime <*> ms maxProcessTime <*> ms duration 10 s,23526
6aff3a7d,"Module configuration changed payload {""model"" ""abb.ability.configuration"" ""type"" ""abb.ia.edge.modules.controlsystemconnect.configuration@1"" ""version"" <*> ""lastModified"" <*> <*> <*> ""properties"" {""docker"" {""env"" {""edgeModuleConfiguration__clientOptions__communicationTimeout"" {""value"" ""00 01 00""} ""dcsConfiguration__synchronizationWaitTime"" {""value"" ""00 00 30""} ""diagnosticsConfiguration__publishInterval"" {""value"" ""00 01 00""} ""typeStorageConfiguration__storagePath"" {""value"" ""/files""} ""log_level"" {""value"" ""Information""} ""dcsConfiguration__storagePath"" {""value"" ""/files""} ""dcsConfiguration__maxInflightDeviceMessages"" {""value"" ""20""} ""dcsConfiguration__forceDeploy"" {""value"" ""false""} ""dcsConfiguration__removeModelsFromBroker"" {""value"" ""true""} ""diagnosticsConfiguration__movingAverageTime"" {""value"" ""00 05 00""} ""dcsBrokerConfiguration__clientOptions__clientTcpOptions__port"" {""value"" ""1883""} ""dcsConfiguration__addTenantIdTag"" {""value"" ""true""} ""edgeModuleConfiguration__clientOptions__keepAlivePeriod"" {""value"" ""00 01 30""} ""dcsBrokerConfiguration__clientOptions__clientTcpOptions__server"" {""value"" ""csconnectbroker""} ""dcsConfiguration__createDeployPackage"" {""value"" ""true""} ""referenceStorageConfiguration__storagePath"" {""value"" ""/files""} ""dcsConfiguration__deployTimeout"" {""value"" ""00 05 00""}} ""image"" {""value"" ""%%DockerRegistry%%/control-system-connect 1.24.12.2755@sha256 8f7d830d00a775455e4331a6bf79d422018dc54d17c9d4c8591fd816675276b9""}} ""associatedSystems"" {""69f072b7-5c8d-406e-bf5c-4e3e431fcac5"" {""value"" ""dolwin""}} ""name"" {""value"" ""245ae774-218f-4abe-8839-386aeea61bcc/controlsystemconnect""}} ""objectId"" ""a590a397-5512-4cc1-a027-1ea133e2f833"" ""tenantId"" ""1559f020-1f1e-43ba-906f-b8b267f60c4c""}",8
4d248ff9,Updating diagnostics properties propertyCount 8,1307
bf5ba7a9,Publish supported system systemId 69f072b7-5c8d-406e-bf5c-4e3e431fcac5,8
