LineId,Time,Content,EventId,EventTemplate,ParameterList
1,1666427168,mosquitto version 1.6.12 starting,601f8224,mosquitto version 1.6.12 <*>,['starting']
2,1666427168,Config loaded from /mosquitto/mosquitto.conf.,ed44beee,Config loaded from /mosquitto/mosquitto.conf.,[]
3,1666427168,Warning: ACL pattern 'event/encryption_key/model' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'event/encryption_key/model'""]"
4,1666427168,Warning: ACL pattern 'modules/local/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'modules/local/#'""]"
5,1666427168,Warning: ACL pattern 'cold/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'cold/#'""]"
6,1666427168,Warning: ACL pattern 'warm/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'warm/#'""]"
7,1666427168,Warning: ACL pattern 'hot/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'hot/#'""]"
8,1666427168,Warning: ACL pattern 'modules/+/status' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'modules/+/status'""]"
9,1666427168,Warning: ACL pattern 'system/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'system/#'""]"
10,1666427168,Warning: ACL pattern '$SYS/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'$SYS/#'""]"
11,1666427168,Opening ipv4 listen socket on port 1883.,afc0e2cb,Opening <*> listen socket on port 1883.,['ipv4']
12,1666427168,Opening ipv6 listen socket on port 1883.,afc0e2cb,Opening <*> listen socket on port 1883.,['ipv6']
13,1666427168,mosquitto version 1.6.12 running,601f8224,mosquitto version 1.6.12 <*>,['running']
14,1666427179,Saving in-memory database to /mosquitto/mosquitto.db.,b318a04a,Saving in-memory database to /mosquitto/mosquitto.db.,[]
15,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
16,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
17,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
18,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
19,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
20,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
21,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
22,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
23,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
24,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
25,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
26,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
27,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
28,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
29,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
30,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
31,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
32,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
33,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
34,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
35,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
36,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
37,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
38,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
39,1666427188,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
40,1666427188,"New client connected from 10.0.1.4 as subscriber_controlsystemconnect (p2, c0, k90, u'controlsystemconnect').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['subscriber_controlsystemconnect', '', ""c0, k90, u'controlsystemconnect""]"
41,1666427188,"New client connected from 10.0.1.4 as edgesubscriptionservice_in (p2, c0, k15, u'edgesubscriptionservice').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['edgesubscriptionservice_in', '', ""c0, k15, u'edgesubscriptionservice""]"
42,1666427188,"New client connected from 10.0.1.4 as subscriber_edgeplatformeventsubscription (p2, c0, k90, u'edgeplatformeventsubscription').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['subscriber_edgeplatformeventsubscription', '', ""c0, k90, u'edgeplatformeventsubscription""]"
43,1666427188,"New client connected from 10.0.1.4 as publisher_edgedashboardwidgetseeder (p2, c0, k90, u'edgedashboardwidgetseeder').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['publisher_edgedashboardwidgetseeder', '', ""c0, k90, u'edgedashboardwidgetseeder""]"
44,1666427188,"New client connected from 10.0.1.4 as publisher_edgeplatformeventsubscription (p2, c0, k90, u'edgeplatformeventsubscription').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['publisher_edgeplatformeventsubscription', '', ""c0, k90, u'edgeplatformeventsubscription""]"
45,1666427188,"New client connected from 10.0.1.4 as codtestconnect (p2, c0, k90, u'codtestconnect').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['codtestconnect', '', ""c0, k90, u'codtestconnect""]"
46,1666427188,"New client connected from 10.0.1.4 as publisher_edgevariablesubscription (p2, c0, k90, u'edgevariablesubscription').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['publisher_edgevariablesubscription', '', ""c0, k90, u'edgevariablesubscription""]"
47,1666427188,"New client connected from 10.0.1.4 as publisher_platformeventsubscription (p2, c0, k90, u'platformeventsubscription').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['publisher_platformeventsubscription', '', ""c0, k90, u'platformeventsubscription""]"
48,1666427188,"New client connected from 10.0.1.4 as subscriber_platformeventsubscription (p2, c0, k90, u'platformeventsubscription').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['subscriber_platformeventsubscription', '', ""c0, k90, u'platformeventsubscription""]"
49,1666427188,"New client connected from 10.0.1.4 as publisher_codtestbackgroundapp (p2, c0, k90, u'codtestbackgroundapp').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['publisher_codtestbackgroundapp', '', ""c0, k90, u'codtestbackgroundapp""]"
50,1666427188,"New client connected from 10.0.1.4 as subscriber_codtestbackgroundapp (p2, c0, k90, u'codtestbackgroundapp').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['subscriber_codtestbackgroundapp', '', ""c0, k90, u'codtestbackgroundapp""]"
51,1666427188,"New client connected from 10.0.1.4 as subscriber_edgedashboardwidgetseeder (p2, c0, k90, u'edgedashboardwidgetseeder').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['subscriber_edgedashboardwidgetseeder', '', ""c0, k90, u'edgedashboardwidgetseeder""]"
52,1666427188,"New client connected from 10.0.1.4 as publisher_controlsystemconnect (p2, c0, k90, u'controlsystemconnect').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['publisher_controlsystemconnect', '', ""c0, k90, u'controlsystemconnect""]"
53,1666427188,"New client connected from 10.0.1.4 as publisher_tscratedbingestion (p2, c0, k90, u'tscratedbingestion').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['publisher_tscratedbingestion', '', ""c0, k90, u'tscratedbingestion""]"
54,1666427188,"New client connected from 10.0.1.4 as subscriber_tscratedbingestion (p2, c0, k90, u'tscratedbingestion').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['subscriber_tscratedbingestion', '', ""c0, k90, u'tscratedbingestion""]"
55,1666427188,"New client connected from 10.0.1.4 as subscriber_edgevariablesubscription (p2, c0, k90, u'edgevariablesubscription').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['subscriber_edgevariablesubscription', '', ""c0, k90, u'edgevariablesubscription""]"
56,1666427188,"New client connected from 10.0.1.4 as edgeinfomodelsync (p2, c1, k90, u'edgeinfomodelsync').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['edgeinfomodelsync', '', ""c1, k90, u'edgeinfomodelsync""]"
57,1666427188,"New client connected from 10.0.1.4 as deviceapi_in (p2, c0, k15, u'edgedeviceapiorchestrator').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['deviceapi_in', '', ""c0, k15, u'edgedeviceapiorchestrator""]"
58,1666427188,"New client connected from 10.0.1.4 as filetestmodule (p2, c0, k15, u'filetestmodule').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['filetestmodule', '', ""c0, k15, u'filetestmodule""]"
59,1666427188,"New client connected from 10.0.1.4 as subscriber_uaconnect (p2, c0, k90, u'uaconnect').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['subscriber_uaconnect', '', ""c0, k90, u'uaconnect""]"
60,1666427188,"New client connected from 10.0.1.4 as publisher_controlsystemconnectsimulator (p2, c0, k90, u'controlsystemconnectsimulator').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['publisher_controlsystemconnectsimulator', '', ""c0, k90, u'controlsystemconnectsimulator""]"
61,1666427188,"New client connected from 10.0.1.4 as publisher_uaconnect (p2, c0, k90, u'uaconnect').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['publisher_uaconnect', '', ""c0, k90, u'uaconnect""]"
62,1666427188,"New client connected from 10.0.1.4 as subscriber_controlsystemconnectsimulator (p2, c0, k90, u'controlsystemconnectsimulator').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['subscriber_controlsystemconnectsimulator', '', ""c0, k90, u'controlsystemconnectsimulator""]"
63,1666427189,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
64,1666427189,"New client connected from 10.0.1.4 as publisher_modbusconnect (p2, c0, k90, u'modbusconnect').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['publisher_modbusconnect', '', ""c0, k90, u'modbusconnect""]"
65,1666427189,"New client connected from 10.0.1.4 as subscriber_modbusconnect (p2, c0, k90, u'modbusconnect').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['subscriber_modbusconnect', '', ""c0, k90, u'modbusconnect""]"
66,1666427190,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
67,1666427190,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
68,1666427190,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
69,1666427190,"New client connected from 10.0.1.4 as deviceapi_out (p2, c0, k15, u'edgedeviceapiorchestrator').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['deviceapi_out', '', ""c0, k15, u'edgedeviceapiorchestrator""]"
70,1666427190,"New client connected from 10.0.1.4 as publisher_edgemanagementportal (p2, c0, k15, u'edgemanagementportal').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['publisher_edgemanagementportal', '', ""c0, k15, u'edgemanagementportal""]"
