EventId,EventTemplate,Occurrences
97c1b109,Connected.,1
599e07b3,Edge instance has been created or updated with config version 4. Provision is done.,1
ece5f152,"Applying module changes added [ ""edgerouter"" ""controlsystemconnectsimulator"" ""controlsystemconnect"" ""csconnectbroker"" ] removed [] updated [ ""edge-proxy"" ""edge-broker"" ].",1
218d3f5c,"Object model for Typed Module created successfully with payload '{""success"" true ""code"" ""ok"" ""details"" """" ""objectId"" ""8ccc114b-73b7-439e-b2a8-81e11f985ea7"" ""relatedModels"" []}'.",1
11671f9f,Sending telemetry message to report that module state of <*> is <*> and it is using image <*> <*> <*>,16
98905022,Edge Config Model Persist data BatchEntries >500 BatchDuration >1000 BatchTypes >timeSeries alarm event MaxDeviceMessageSize >256 TelemetrySkipValidation >False TelemetryCompression >deflate ContentEncoding >deflate ConnectivityMode >connected LogLevel >info,1
21d3f370,"Object model for Typed Module created successfully with payload '{""success"" true ""code"" ""ok"" ""details"" """" ""objectId"" <*> ""relatedModels"" [{""model"" ""abb.ability.configuration"" ""success"" true ""code"" ""ok"" ""details"" """"}]}'.",3
954da85d,Connection is established.,2
21ec5a9f,Connecting to AbiGtwyIthiia07EunBdv.azure-devices.net,1
368e49f2,Sending system report.,54
4c70812a,Fetching IM public key,1
dfcebab9,Allocating device for ff71118e-391a-4e96-94be-ea85cd68139b.,1
07d3be8d,Received <*> from 'controlsystemconnect'.,87
73b979dd,Common Diagnostic Check is passed.,4
1022312f,Establishing outbound connection with MQTT broker,1
d2f576e5,IoTHub connection is established. ff71118e-391a-4e96-94be-ea85cd68139b AbiGtwyIthiia07EunBdv.azure-devices.net,1
c3b3660a,Creating reference between <*> and edge-proxy.,5
c8b5a8a5,Forwarding model.query after successful model.create ''.,4
0981563d,Identity for the module <*> exist,10
42c20c7f,Received method request ack from csconnectbroker.,6
beec2d0a,Querying models using correlation id <*>,51
7459b2e9,IoTHub AbiGtwyIthiia07EunBdv.azure-devices.net has been allocated by DPS.,1
9888cde4,Existing Edge instance found. Provision is done.,1
64cce4cc,Pending to create Typed Module <*> .,4
d784acc9,Updating Typed Module <*> to revision <*>,10
f251650c,Upsert bootstrap-agent abbiapcpdev.azurecr.io/edge-proxy-enhanced 1.217.2.24891 to file at /var/ability/modules/imagesInUse.json,1
506d23f9,Pending to create Edge with correlation ID 928542f4-a490-4005-bd42-8472b0affe62.,1
e6d24bb1,Establishing inbound connection with MQTT broker attempt #1,1
50f6770d,Exposing Information Model public key to all modules.,1
374d6269,Creating identity for the module <*> with correlationId <*>,4
cd4e26e0,Creating object model for the module <*> with correlationId <*>,4
c632c87d,"Syncing configuration { ""type"" 1 ""objectId"" <*> } of <*>",10
f6acc8b0,"Diagnostic Check is pass. {""ENABLE_INET_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_AVAILABLY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DEVICE_CERT_VALIDITY_DIAGNOSTIC_CHECK"" ""Pass"" ""ENABLE_DNS_RESOLUTION_DIAGNOSTIC_CHECK"" ""Pass""}",4
e8d80cca,Module exists and it is updated and its configuration is not empty,10
f78b4b4e,Heartbeat requested,106
da7ff3f6,Updating Edge's device model to version <*> with correlation ID <*>,15
15f08636,Edge's device model updated to version <*> with correlation ID <*>,15
8c997508,Updating System Module <*>,2
be3b9359,Creating Typed Module <*>,5
206fbea4,Forwarding <*> <*> <*> <*>,102
c0a5a082,Received model <*> of <*>,31
62c314f7,Received method request from platform.,6
1ffcec7c,Upsert edge-proxy abbiapcpdev.azurecr.io/edge-agent 0.34.0@sha256 25158307011a8cf0a3f0ac177fbaa73b8ef0275c91af590bd92a7322051b0a64 to file at /var/ability/modules/imagesInUse.json,1
1845ac8d,Upsert edge-broker abbiapcpdev.azurecr.io/edge/broker 1.6.12-4@sha256 01e222cbe4eff678bcca58cf8d0d4952565e01c14038fe273c071b30dca83ef2 to file at /var/ability/modules/imagesInUse.json,1
7c846fa0,Upsert edgerouter abbiapcpdev.azurecr.io/edge-router 1.21.67.53356@sha256 15e827441db8175346a4f3ef319d77d1aa3e0a351a998bead75398220669b562 to file at /var/ability/modules/imagesInUse.json,2
797f44e3,Upsert controlsystemconnectsimulator abbiapcpdev.azurecr.io/control-system-connect-simulator 1.24.16.30987@sha256 521bad7d98adb1a744b42731088ff11954949ffc513e80d79162129ad07d82f7 to file at /var/ability/modules/imagesInUse.json,8
5aae11d0,Upsert controlsystemconnect abbiapcpdev.azurecr.io/control-system-connect 1.25.7.1084@sha256 761be171540042e93f1c523edd1a5ad5162e97102cc526b0aebdba037942aeb5 to file at /var/ability/modules/imagesInUse.json,3
33a808ef,Upsert csconnectbroker abbiapcpdev.azurecr.io/edge-connect-broker 1.22.8.27942@sha256 7f63798b87f494af2c2ee532197947b152bad36bf5110643088c0a8182d0b35d to file at /var/ability/modules/imagesInUse.json,2
