LineId,Time,Content,EventId,EventTemplate,ParameterList
3406,1665073603,"New client connected from 10.0.1.4 as deviceapi_out (p2, c0, k15, u'edgedeviceapiorchestrator').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['deviceapi_out', '', ""c0, k15, u'edgedeviceapiorchestrator""]"
3407,1665073603,Saving in-memory database to /mosquitto/mosquitto.db.,b318a04a,Saving in-memory database to /mosquitto/mosquitto.db.,[]
3408,1665073607,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
3409,1665073607,"New client connected from 10.0.1.4 as edgeinfomodelsync (p2, c1, k90, u'edgeinfomodelsync').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['edgeinfomodelsync', '', ""c1, k90, u'edgeinfomodelsync""]"
3410,1665073614,Saving in-memory database to /mosquitto/mosquitto.db.,b318a04a,Saving in-memory database to /mosquitto/mosquitto.db.,[]
3411,1665073617,"Socket error on client edgeinfomodelsync, disconnecting.",41f93083,Socket error on client <*> disconnecting.,"['edgeinfomodelsync,']"
3412,1665073624,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
3413,1665073624,"New client connected from 10.0.1.4 as edgeinfomodelsync (p2, c1, k90, u'edgeinfomodelsync').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['edgeinfomodelsync', '', ""c1, k90, u'edgeinfomodelsync""]"
3414,1665073625,Saving in-memory database to /mosquitto/mosquitto.db.,b318a04a,Saving in-memory database to /mosquitto/mosquitto.db.,[]
3415,1665073634,"Socket error on client edgeinfomodelsync, disconnecting.",41f93083,Socket error on client <*> disconnecting.,"['edgeinfomodelsync,']"
3416,1665073636,Saving in-memory database to /mosquitto/mosquitto.db.,b318a04a,Saving in-memory database to /mosquitto/mosquitto.db.,[]
3417,1665073641,New connection from 10.0.1.4 on port 1883.,a32dc633,New connection from 10.0.1.4 on port 1883.,[]
3418,1665073641,"New client connected from 10.0.1.4 as edgeinfomodelsync (p2, c1, k90, u'edgeinfomodelsync').",72fc4c37,New client connected from 10.0.1.4 as <*> (p2 <*> <*> <*>,"['edgeinfomodelsync', '', ""c1, k90, u'edgeinfomodelsync""]"
3419,1665073643,Reloading config.,a0a40a28,Reloading config.,[]
3420,1665073643,Warning: ACL pattern 'event/encryption_key/model' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'event/encryption_key/model'""]"
3421,1665073643,Warning: ACL pattern 'modules/local/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'modules/local/#'""]"
3422,1665073643,Warning: ACL pattern 'cold/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'cold/#'""]"
3423,1665073643,Warning: ACL pattern 'warm/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'warm/#'""]"
3424,1665073643,Warning: ACL pattern 'hot/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'hot/#'""]"
3425,1665073643,Warning: ACL pattern 'modules/+/status' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'modules/+/status'""]"
3426,1665073643,Warning: ACL pattern 'system/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'system/#'""]"
